selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,candidate_b2_train_days,candidate_b2_half_life_days,candidate_L_obs_hours,pool_origin_count,pool_validation_block_count,candidate_pareto_alpha,selected_lambda,paired_validation_block_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,selected_cascade_alpha,selected_cascade_validation_pr_auc,selected_b2_train_days,selected_b2_half_life_days,fusion_validation_pr_auc,fusion_validation_roc_auc,prediction_population
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2548073658789332,0.2578908390641024,0.21373125355642547,0.0683706077336533,0.16957166804874857,0.7101300402745921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.25054698818280813,0.2503986813278779,0.2096059724667701,0.06679593500510701,0.16881326360566232,0.7081420454211168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2971172237855789,0.3256611063619682,0.251036265893399,0.08921595842202962,0.1764114254248298,0.7106349651855695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2830777851229778,0.2807699604569446,0.22781849675095106,0.0893107845774353,0.17486703304495751,0.6937458596648417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.2758595276176099,0.26268330708037724,0.2191550963647964,0.08771500327467796,0.1756268856492156,0.6878720487216788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2974595023907352,0.3182374132771316,0.2504721098025471,0.08646996219000791,0.1827068063279625,0.7041909120663928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2765337684002451,0.2589227277358593,0.21982846491836813,0.08631274805094302,0.18073420210087698,0.6799513365064188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.2608816185044744,0.2283769820891237,0.19968760230435284,0.08965565001172358,0.17099822251958202,0.6654382824621564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.33930459532986257,0.3886014119917823,0.2921805439163929,0.10314718437026328,0.1957596758410036,0.7267358170366108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.32684965468403687,0.39164132953017194,0.28985623939327454,0.09820299689520932,0.1880711492563772,0.7233337493686195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.3175006257342647,0.3783522139952027,0.28155027782070974,0.09397835705610635,0.18474834164621684,0.7210687687252619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.33638950653356287,0.3662217177849775,0.28135070875600443,0.10421418955207244,0.19647969972703133,0.7240096797044991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.3179922890014158,0.3224114293667548,0.2540459724816111,0.10627395380012797,0.18568051559646737,0.7057405036397881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.3093441137536596,0.301930187551833,0.24229999994574386,0.10658486090999243,0.18266981233965474,0.6955840941473945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.3356752605179299,0.3633897380582192,0.27915815378031816,0.10544353892624865,0.19492656950241705,0.7188863812698076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.3162005249734611,0.3097625614852172,0.24800419829941123,0.1088310995346798,0.1862458351136053,0.6892889426379992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21024.0,2023-07-28T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.3026717998909482,0.28505108906047016,0.22916739001991063,0.11352439570396107,0.1732836909793511,0.6766227791093137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.1949909665766827,0.19625395440857007,0.17918582559327656,0.02634044375444327,0.16211769677798307,0.6365460817152014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.19197395160206351,0.18690450549262191,0.17336483532338584,0.02854493877276951,0.15982516515414977,0.6312692953198676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.19023629586226373,0.18303029775379373,0.17097020347729291,0.02897116752125322,0.15891010920079213,0.6274703113547228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.18725978244970634,0.19480515665519635,0.17793644756506322,0.0190670233034446,0.1610677384749301,0.6399490729156526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.17651827601470968,0.17920446023095063,0.172131746766228,0.008475383660831073,0.1650590333015054,0.6170409926017416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1717152007072654,0.16713216003277515,0.16710672801220128,0.006517397667327293,0.1670812959916274,0.6006956120416989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,21312.0,2023-07-29T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.1877614194785161,0.19507634925186249,0.17845953341136905,0.01889786269917716,0.1618427175708756,0.636618095090801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
