selection_stage,selection_origin_idx,selection_origin_time,purge_hours,validation_mode,pool_origin_count,pool_validation_block_count,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,branch1_input_validation_ap,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,adwin_triggered,adwin_loss_triggered,adwin_disagreement_triggered,adwin_prevalence_triggered,adwin_loss_raw_triggered,adwin_disagreement_raw_triggered,adwin_prevalence_raw_triggered,adwin_stable,adwin_stable_count,adwin_loss_state,adwin_disagreement_state,adwin_prevalence_state,adwin_last_batch_bin,adwin_feedback_batch_count,adwin_min_batches,adwin_consecutive_trigger_requirement,adwin_cooldown_cycles,previous_val_pr_auc,val_pr_auc_delta,candidate_count
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,14.0,all_1_6_24,0.1462922083912962,0.14237138751059464,0.12027762523767474,0.040974869870384005,0.09818386296475483,0.6516383247766389,"{'1': 0.1426538736346237, '6': 0.14634103397665335, '24': 0.15007814606647182}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,3.0,all_1_6_24,0.1546404676579953,0.16675574569410268,0.1332148779321204,0.04084244112465472,0.09967401017013812,0.6759582947694195,"{'1': 0.14850575360318552, '6': 0.15709421347901306, '24': 0.15535214012306522}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,7.0,all_1_6_24,0.1348654448725822,0.13219402744139105,0.10889406271712199,0.04136364288717853,0.08559409799285293,0.625549810947168,"{'1': 0.13229015467893337, '6': 0.13686815453841064, '24': 0.1381102801598366}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,21.0,14.0,all_1_6_24,0.12209785982500333,0.10765971560243198,0.09463389608268215,0.04026975612441421,0.08160807656293231,0.5915785838356782,"{'1': 0.11947090141943917, '6': 0.12363158082719172, '24': 0.1277109594353271}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.16208423102013167,0.08732032421440707,0.06848290646172144,0.13326282848780638,0.049645488709035804,0.4271754761932615,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.16731213905375605,0.08696374808833558,0.07532511825833701,0.13043591961513848,0.06368648842833843,0.48708617706891316,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.18626541461735055,0.12035222806026434,0.10365798807429996,0.11761705774505517,0.08696374808833558,0.5508677230749752,,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.1615891645938008,0.08672217281658204,0.06831813298256731,0.13275833858477126,0.04991409314855258,0.41649851885181993,,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.16020854410366897,0.08767389991425627,0.06879399653140442,0.13019551778068572,0.04991409314855258,0.42871589184068215,,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.1597586688217182,0.08747099176147592,0.06869254245501424,0.12969643601545067,0.04991409314855258,0.42793166338594074,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.1617722955550693,0.08729250785773164,0.06794506477593533,0.13362876751370056,0.04859762169413902,0.4192928546169714,,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.1832130082831028,0.12086732356197621,0.10391553582515589,0.11299448518144811,0.08696374808833558,0.5511667849235251,,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch2,,,history_only,0.19400650514279968,0.15324781414106692,0.12010578111470124,0.10795784791220508,0.08696374808833558,0.6070362911724682,,21.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.19400650514279968,0.15324781414106692,0.12010578111470124,0.10795784791220508,0.08696374808833558,0.6070362911724682,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.2166983762181336,0.18134145410966318,0.14895198366276283,0.09939080745095696,0.11656251321586249,0.7099369944714126,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.21750475779297782,0.16415166377205884,0.14891213521825727,0.0977994098331761,0.1336726066644557,0.7196597930409318,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.21146575573167029,0.15196814631211067,0.14605789492511972,0.09262647511132985,0.14014764353812878,0.7176620440068663,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
