selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,selected_cascade_alpha,cascade_validation_pr_auc
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2340420308970241,0.17040345258927955,0.1335282243239696,0.14530165953407637,0.09665299605865964,0.7202000439985198,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.23152125204549837,0.16590156645962809,0.13031032673629428,0.14605407800053533,0.09471908701296047,0.7151241211462226,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2387476621918231,0.1721461359020916,0.13872074550467878,0.14406806009436468,0.10529535510726598,0.7344851354687516,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.20839518865557707,0.15322177355807293,0.1265519034743994,0.11777450759261036,0.09988203339072589,0.7057605091697203,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1900612759106438,0.14373551990953265,0.12113114571843796,0.0992137298210766,0.09852677152734327,0.6900091785522656,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.23269414260280866,0.1684218872723818,0.1337285770256837,0.14279630080613512,0.09903526677898555,0.7237615266027001,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.17888823163613785,0.13317985088526685,0.10917821550500555,0.10051380518096403,0.08517658012474424,0.6649912516993536,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.15260758688082424,0.10843514674411109,0.09485487169796186,0.08242391321013391,0.08127459665181264,0.6286372765154377,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.23254644165385976,0.2447881070991187,0.18042060796638193,0.09053353911653102,0.11605310883364514,0.7423942682595229,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.23000858418851752,0.2514927978328726,0.1852708195282845,0.08322560972423701,0.11904884122369641,0.7425301330272793,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.2272149309036522,0.25088684010982004,0.1850836467029432,0.08022965199037733,0.11928045329606632,0.7411985991946323,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.21982721166559274,0.22088642648403384,0.16397871720974033,0.09163569309609891,0.10707100793544683,0.7217064307983613,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.18758018829781195,0.17219226977493193,0.1412530315577949,0.07021800726451431,0.11031379334065788,0.7026223941570636,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.17226976186611184,0.14932332088050257,0.13082282822264524,0.060529954864905255,0.11232233556478793,0.6893519517993053,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.21228290023551932,0.21829168303122853,0.15723145873718397,0.09244939020521069,0.09617123444313938,0.7040430474325269,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.16267086353475532,0.15945435852343243,0.12255205850949845,0.06424087637572677,0.08564975849556447,0.6478716159046358,,,,,,,,,,,,,,,,
branch1_proxy,development,19584.0,2023-07-23T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1409531353771541,0.1449299328822316,0.11380130898180543,0.046048208475782136,0.08267268508137926,0.6183579820397923,,,,,,,,,,,,,,,,
